Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2011-04-12,1.3779715671200733e-08,4.86858339763605e-10,3.263484082145439e-05,0.9999673508928324
2011-04-13,1.3670264004003805e-05,1.786515065345481e-09,2.026341072088231e-05,0.9999660645390773
2011-04-14,1.7712871886354624e-05,1.043181422850415e-09,4.3427408421110186e-06,0.9999779433441818
2011-04-15,7.828251232656395e-06,4.240496103715243e-13,8.73881964474562e-09,0.9999921630094516
2011-04-18,7.844545299423593e-10,4.749078894116623e-11,9.310116825340536e-07,0.999999068156719
2011-04-19,5.224310212725011e-07,2.351937952154886e-09,3.530827194939674e-06,0.9999959443894498
2011-04-20,1.7754232868826266e-05,1.4060297383741777e-08,1.3793607290462643e-06,0.9999808523457987
2011-04-21,3.2256547726314795e-05,6.308435901830455e-09,7.870827321348635e-07,0.9999669500607621
2011-04-25,1.5641891765071246e-05,1.1377057040438693e-08,8.288788407102542e-06,0.9999760579431833
2011-04-26,5.913487322070031e-05,2.367994931378526e-08,2.8440653019730404e-06,0.9999379973819734
2011-04-27,6.311202740719168e-05,1.927418350943661e-08,2.4103055378870384e-06,0.9999344583927182
2011-04-28,5.783772412983118e-05,3.5231670861605674e-08,8.156155408155945e-06,0.999933970888337
2011-04-29,0.00014183487513273388,3.563385968089472e-09,0.0005154917449969605,0.9993426698167885
2011-05-02,1.421194674436119e-05,3.997637232941352e-10,0.09492059581526188,0.9050651918386028
2011-05-03,4.906018604445546e-06,4.725265325717272e-09,0.6838976869598881,0.316097402296584
2011-05-04,1.5486651569243068e-06,2.1057647268029884e-07,0.9688880166235371,0.031110224135137195
2011-05-05,0.00025754919482756314,7.725106278540455e-06,0.9869208547766246,0.012813870922050314
2011-05-06,0.1698970569582082,5.6450381871621215e-05,0.8201523669834386,0.009894125676808502
2011-05-09,0.9206799348513377,2.1057482717927376e-05,0.07013358381250231,0.00916542385379412
2011-05-10,0.9750661651609788,2.011635723338115e-07,0.015879713215903504,0.00905392045981909
2011-05-11,0.02420874834307733,2.736183932543506e-07,0.9725899956924481,0.003200982345905851
2011-05-12,0.3080774605177147,1.902378319299698e-08,0.6901125459675198,0.0018099744913176318
2011-05-13,0.0011111395409560355,2.394576343210472e-09,0.9988103284442168,7.852962049080917e-05
2011-05-16,2.422482954349687e-06,2.2716329603552318e-07,0.9999972461020382,1.0425196706909168e-07
2011-05-17,0.0018115894100360587,1.6634911352725267e-05,0.9981717746721269,1.0066458465503966e-09
2011-05-18,0.7144005406511236,1.3324730047258004e-05,0.28558603152197726,1.0309666388352233e-07
2011-05-19,0.676407376192974,2.3519638088801636e-07,0.32258814869332486,0.0010042399169937805
2011-05-20,0.0837646809842646,2.749057677648285e-09,0.914816965880141,0.0014183503866359631
2011-05-23,6.229139761480559e-06,2.07569482896097e-07,0.9999882020788587,5.3612121094137944e-06
