ticker,strategy,hmm_mode,CAGR,Sharpe,MaxDD,TotalReturn,Volatility,HitRate,AvgExposure,Turnover,N
XRP,MOM+HMM,WF,0.1931619426954594,0.5668581121532537,-0.9739028496081257,18.921600825744722,0.8080054819433613,0.22956195830405246,0.4654485828062778,586.0,4269
XRP,MR+HMM,WF,-0.24946307560061398,-0.3579762178219957,-0.9983835716392002,-0.9922599564476893,0.43011823848408687,0.07191379714218786,0.13539470602014522,212.0,4269
XRP,HYB_default,WF,-0.4828108403740592,-0.20154888810307733,-0.9999942921533687,-0.9999859043630366,0.7277763661347318,0.18458655422815648,0.3818224408526587,592.0,4269
SOL,BuyHold,-,1.3961721432028673,1.2999631305855077,-0.9549703667238274,2077.5983733741973,1.0971730847851853,0.5038583749432592,0.9995460735360872,1.0,2203
SOL,MOM,-,-0.36448405222544455,0.5137124810336513,-0.9979127972451639,-0.9809927645336742,1.09534496506136,0.4979573309123922,0.9977303676804358,515.0,2203
SOL,MR,-,-0.5807456822625583,-0.8331486552052778,-0.9998041913396986,-0.9994991880082179,0.7185555906336094,0.20426690876078074,0.41852019972764415,178.0,2203
SOL,MOM+HMM,IS,-0.2142593642247409,0.6425109034592702,-0.9967926437393504,-0.8785145576934646,0.914530665087109,0.2914207898320472,0.5810258738084431,356.0,2203
SOL,MR+HMM,IS,-0.080259860385958,0.06751871219676196,-0.8904840560109246,-0.5187637305137658,0.4736824640383346,0.09441670449387199,0.18157058556513844,110.0,2203
SOL,HYB_default,IS,-0.6908178890749064,-0.45036300050538053,-0.9999693260726783,-0.9999650520625206,0.8366941792506398,0.24875170222423967,0.5147526100771675,356.0,2203
SOL,MOM+HMM,WF,-0.1667425223581369,-0.07856878706113035,-0.8974171735923046,-0.7970229628872768,0.5332231365902348,0.25011348161597824,0.5065819337267363,351.0,2203
SOL,MR+HMM,WF,-0.21407987885349045,-0.5517080341903701,-0.9322852731233263,-0.8782717446050535,0.333523878125683,0.0817067635043123,0.16749886518384022,120.0,2203
SOL,HYB_default,WF,-0.3730200555396276,-0.6797182864951646,-0.9909919946675979,-0.9831119880670445,0.49822918033041885,0.1979119382660009,0.41761234679981846,363.0,2203
HYPE,BuyHold,-,0.23467938573737301,0.6812035038167981,-0.691891342865284,0.5142650961305619,0.916737977012756,0.4959677419354839,0.9979838709677419,1.0,496
HYPE,MOM,-,-0.49782090227483755,-0.32456533191584397,-0.8582330509022041,-0.7422410134903931,0.8921875696130657,0.4637096774193548,0.9899193548387096,123.0,496
HYPE,MR,-,0.2747181431950456,0.7041981864688042,-0.5315701877748462,0.6124336500891034,0.5902171297980952,0.22782258064516128,0.39919354838709675,44.0,496
HYPE,MOM+HMM,IS,0.02610464484457431,0.3180688433374432,-0.44730551106565397,0.052029738377056045,0.542967848172932,0.22782258064516128,0.4596774193548387,61.0,496
HYPE,MR+HMM,IS,0.1142583162506452,0.48350353171555754,-0.36887887948414755,0.23731464373602384,0.3514146645532526,0.08870967741935484,0.1532258064516129,20.0,496
HYPE,HYB_default,IS,0.6597040432383794,1.2128993766412561,-0.313953309283837,1.710667220073392,0.533033652876642,0.23790322580645162,0.4092741935483871,57.0,496
